#Indent,Branch,PV,Description,Latch,Delay,Count,Filter,Guidance
0,LCLS,,,,,,,
1,BCS,,,,,,,
,,DSC:UND0:BC02:CH7_A,,false,0,,DSC:UND0:BC02:CH7_AFP,
,,DSC:UND0:BC02:CH8_A,,false,0,,DSC:UND0:BC02:CH8_AFP,
6,BCS:GLOBAL:DSC:UND0:BC02:B,,,,,,,"BCS PLC (DSC) BC02 ,Group Name: BCS:GLOBAL:DSC:UND0:BC02:B ,Summary PV: BCS:GLOBAL:DSC:UND0:BC02:B:STATSUMY ,"
,,DSC:UND0:BC02:CH1_B,,false,0,,DSC:UND0:BC02:CH1_BFP,
,,DSC:UND0:BC02:CH2_B,,false,0,,DSC:UND0:BC02:CH2_BFP,
,,DSC:UND0:BC02:CH3_B,,false,0,,DSC:UND0:BC02:CH3_BFP,
,,DSC:UND0:BC02:CH4_B,,false,0,,DSC:UND0:BC02:CH4_BFP,
,,DSC:UND0:BC02:CH5_B,,false,0,,DSC:UND0:BC02:CH5_BFP,
,,DSC:UND0:BC02:CH6_B,,false,0,,DSC:UND0:BC02:CH6_BFP,
,,DSC:UND0:BC02:CH7_B,,false,0,,DSC:UND0:BC02:CH7_BFP,
,,DSC:UND0:BC02:CH8_B,,false,0,,DSC:UND0:BC02:CH8_BFP,
5,BCS:GLOBAL:DSC:LTU0,,,,,,,"BCS PLC (DSC) ,Group Name: BCS:GLOBAL:DSC:LTU0 ,Summary PV: BCS:GLOBAL:DSC:LTU0:STATSUMY ,"
6,BCS:GLOBAL:DSC:LTU0:BC01:A,,,,,,,"BCS PLC (DSC) BC01 ,Group Name: BCS:GLOBAL:DSC:LTU0:BC01:A ,Summary PV: BCS:GLOBAL:DSC:LTU0:BC01:A:STATSUMY ,"
,,DSC:LTU0:BC01:CH1_A,,false,0,,DSC:LTU0:BC01:CH1_AFP,
,,DSC:LTU0:BC01:CH2_A,,false,0,,DSC:LTU0:BC01:CH2_AFP,
,,DSC:LTU0:BC01:CH3_A,,false,0,,DSC:LTU0:BC01:CH3_AFP,
,,DSC:LTU0:BC01:CH4_A,,false,0,,DSC:LTU0:BC01:CH4_AFP,
,,DSC:LTU0:BC01:CH5_A,,false,0,,DSC:LTU0:BC01:CH5_AFP,
,,DSC:LTU0:BC01:CH6_A,,false,0,,DSC:LTU0:BC01:CH6_AFP,
,,DSC:LTU0:BC01:CH7_A,,false,0,,DSC:LTU0:BC01:CH7_AFP,
,,DSC:LTU0:BC01:CH8_A,,false,0,,DSC:LTU0:BC01:CH8_AFP,
6,BCS:GLOBAL:DSC:LTU0:BC01:B,,,,,,,"BCS PLC (DSC) BC01 ,Group Name: BCS:GLOBAL:DSC:LTU0:BC01:B ,Summary PV: BCS:GLOBAL:DSC:LTU0:BC01:B:STATSUMY ,"
,,DSC:LTU0:BC01:CH1_B,,false,0,,DSC:LTU0:BC01:CH1_BFP,
,,DSC:LTU0:BC01:CH2_B,,false,0,,DSC:LTU0:BC01:CH2_BFP,
,,DSC:LTU0:BC01:CH3_B,,false,0,,DSC:LTU0:BC01:CH3_BFP,
,,DSC:LTU0:BC01:CH4_B,,false,0,,DSC:LTU0:BC01:CH4_BFP,
,,DSC:LTU0:BC01:CH5_B,,false,0,,DSC:LTU0:BC01:CH5_BFP,
,,DSC:LTU0:BC01:CH6_B,,false,0,,DSC:LTU0:BC01:CH6_BFP,
,,DSC:LTU0:BC01:CH7_B,,false,0,,DSC:LTU0:BC01:CH7_BFP,
,,DSC:LTU0:BC01:CH8_B,,false,0,,DSC:LTU0:BC01:CH8_BFP,
6,BCS:GLOBAL:DSC:LTU0:BC02:A,,,,,,,"BCS PLC (DSC) BC02 ,Group Name: BCS:GLOBAL:DSC:LTU0:BC02:A ,Summary PV: BCS:GLOBAL:DSC:LTU0:BC02:A:STATSUMY ,"
